_id,type,model
ObjectId(68a718632bbed248f5c0e1c6),smart phone,cz
ObjectId(68a718632bbed248f5c0e1c7),smart phone,bn20
ObjectId(68a718632bbed248f5c0e1c8),smart phone,pk2
ObjectId(68a718632bbed248f5c0e1c9),smart phone,bn20
ObjectId(68a718632bbed248f5c0e1ca),smart phone,c12
ObjectId(68a718632bbed248f5c0e1cb),smart phone,c12
ObjectId(68a718632bbed248f5c0e1cc),smart phone,k9
ObjectId(68a718632bbed248f5c0e1cd),smart phone,c3
ObjectId(68a718632bbed248f5c0e1ce),smart phone,cz
ObjectId(68a718632bbed248f5c0e1cf),smart phone,xm23
ObjectId(68a718632bbed248f5c0e1d0),smart phone,cz
ObjectId(68a718632bbed248f5c0e1d1),smart phone,k9
ObjectId(68a718632bbed248f5c0e1d2),laptop,qw2
ObjectId(68a718632bbed248f5c0e1d3),laptop,c6
ObjectId(68a718632bbed248f5c0e1d4),laptop,qw2
ObjectId(68a718632bbed248f5c0e1d5),laptop,k12
ObjectId(68a718632bbed248f5c0e1d6),laptop,zeta
ObjectId(68a718632bbed248f5c0e1d7),laptop,ay9
ObjectId(68a718632bbed248f5c0e1d8),laptop,jl3
ObjectId(68a718632bbed248f5c0e1d9),laptop,zeta
ObjectId(68a718632bbed248f5c0e1da),smart phone,c3
ObjectId(68a718632bbed248f5c0e1db),smart phone,c12
ObjectId(68a718632bbed248f5c0e1dc),laptop,ki2
ObjectId(68a718632bbed248f5c0e1dd),smart phone,c3
ObjectId(68a718632bbed248f5c0e1de),smart phone,bn20
ObjectId(68a718632bbed248f5c0e1df),smart phone,platina
ObjectId(68a718632bbed248f5c0e1e0),smart phone,xm23
ObjectId(68a718632bbed248f5c0e1e1),smart phone,platina
ObjectId(68a718632bbed248f5c0e1e2),smart phone,pk2
ObjectId(68a718632bbed248f5c0e1e3),smart phone,xm23
ObjectId(68a718632bbed248f5c0e1e4),laptop,k12
ObjectId(68a718632bbed248f5c0e1e5),laptop,zeta
ObjectId(68a718632bbed248f5c0e1e6),smart phone,k9
ObjectId(68a718632bbed248f5c0e1e7),laptop,jl3
ObjectId(68a718632bbed248f5c0e1e8),smart phone,pk2
